hashtag,2022-08-01,2022-08-02,2022-08-03,2022-08-04,2022-08-05,2022-08-06,2022-08-07,2022-08-08,2022-08-09,2022-08-10,2022-08-11,2022-08-12,2022-08-13,2022-08-14,2022-08-15,2022-08-16,2022-08-17,2022-08-18,2022-08-19,2022-08-20,2022-08-21,2022-08-22,2022-08-23,2022-08-24,2022-08-25,2022-08-26,2022-08-27,2022-08-28,2022-08-29,2022-08-30,2022-08-31
#おおい町フォトクエスト2022春夏,2,5,0,3,0,1,3,2,3,6,3,2,4,4,2,0,3,3,5,4,2,3,0,0,0,4,2,5,0,2,2
#白紙の1ページ,5,1,2,1,3,1,4,2,2,2,1,1,1,2,3,4,5,11,1,1,1,3,1,0,3,0,1,3,3,3,3
#fukuikankou,1,4,5,3,1,6,6,1,3,2,3,2,1,1,2,0,0,2,2,1,3,2,1,1,3,1,3,5,2,2,4
#一乗谷朝倉氏遺跡,2,1,1,2,1,7,3,3,5,1,1,5,1,3,3,0,0,0,0,1,7,6,2,2,1,0,2,7,0,3,3
#平泉寺白山神社,1,2,1,0,0,1,0,1,1,0,7,3,8,5,0,1,3,0,2,4,3,6,2,1,3,0,4,4,1,4,4
#jp_portrait_collection,3,1,1,1,2,0,3,3,0,1,1,2,1,2,2,4,5,11,0,1,2,2,4,0,6,0,1,4,2,3,3
#lovers_amazing_group,1,1,1,1,0,4,3,1,5,1,7,4,7,7,2,3,0,0,0,1,1,1,0,2,1,2,1,6,0,4,3
#fukuitravel,0,1,1,1,2,5,3,2,4,1,8,5,9,6,4,3,0,1,0,0,0,0,1,0,0,0,2,2,1,3,4
#raw_japan,0,1,2,1,1,2,4,1,0,1,2,6,4,6,2,5,1,4,3,3,5,4,2,3,1,2,0,0,1,1,1
#青空,9,8,3,3,0,2,2,6,1,2,1,0,5,1,4,1,4,1,1,3,0,2,3,0,0,3,0,0,1,2,0
#あわら夢ぐるま公園,1,1,4,0,1,7,5,3,5,3,4,4,5,1,3,6,2,1,1,0,3,1,0,1,0,1,0,2,2,1,0
#photo_travelers,1,1,2,0,1,0,0,1,0,2,3,6,3,3,3,3,3,1,2,5,6,4,2,4,1,2,1,2,2,2,1
#じゃらん子供とお出かけ部,1,0,0,0,0,0,4,0,1,1,0,1,0,1,0,6,6,13,3,0,4,0,4,4,3,0,0,3,6,3,3
#pt_memories,4,0,1,1,3,0,4,4,1,1,2,2,2,1,2,2,2,2,0,2,2,2,4,1,9,2,1,4,2,1,3
#空,7,5,3,4,1,3,3,4,2,3,1,2,1,2,4,1,4,2,2,1,1,2,1,1,1,0,0,1,0,0,4
#風鈴,3,5,1,2,5,4,4,1,3,7,4,4,2,2,1,1,0,2,0,0,3,2,0,3,0,0,0,4,1,0,2
#light_nikon,1,3,2,1,3,2,1,1,0,1,1,3,3,2,1,0,2,5,3,1,5,2,3,2,4,2,1,2,3,3,1
#私の好きな福井県キャンペーン,2,2,1,0,0,2,2,3,2,2,3,1,3,3,2,4,1,6,2,1,5,2,4,1,3,1,1,3,1,0,0
#japan_photo_now,1,0,3,3,1,0,0,0,2,2,0,0,2,3,2,2,2,0,2,6,6,2,4,1,0,0,3,7,1,6,2
#写真を止めるな,5,0,2,3,2,1,1,2,1,2,1,4,2,2,3,6,2,2,1,1,1,2,1,2,3,1,1,2,2,2,3
#私の好きな福井県,4,1,1,0,0,2,2,3,1,1,2,1,2,2,4,7,3,2,2,4,2,1,2,4,1,2,1,1,3,1,0
#ヒマワリ,6,1,0,0,2,6,7,6,6,3,1,4,4,1,1,2,4,0,0,1,0,1,0,0,0,1,0,2,0,1,1
#love_camera_club,1,1,1,0,0,4,6,0,1,2,4,1,1,2,1,2,1,3,2,1,5,6,2,1,1,1,0,0,2,7,1
#japan_bestpic_,2,3,2,1,2,2,5,0,2,3,0,4,2,4,2,7,0,2,1,2,3,1,0,4,0,1,1,2,2,0,0
#自然,10,5,1,3,1,2,1,1,1,2,2,2,5,3,0,1,0,2,0,1,1,1,3,2,2,0,3,0,2,2,1
#Love_bestjapan,2,0,1,3,1,1,1,1,1,0,2,3,4,3,4,6,3,2,6,3,1,2,1,2,0,1,1,0,2,1,1
#hellojapansea,4,2,3,0,2,3,5,2,2,1,2,2,3,4,3,4,1,1,1,0,1,2,1,0,2,0,1,1,3,1,2
#夏の思い出,1,2,0,4,1,3,3,0,1,1,0,0,1,5,4,3,1,0,0,3,3,1,0,5,4,5,1,4,2,1,0
#japan_photogroup,4,1,4,3,1,2,2,2,3,0,1,5,4,3,0,2,1,1,1,2,0,2,1,1,1,1,2,1,3,2,2
#japan_great_view,2,2,2,2,2,2,1,0,2,2,2,5,2,5,1,2,1,4,2,0,2,1,1,3,0,0,1,3,3,2,1
#genic_japan,1,4,2,2,4,1,4,2,2,1,1,2,3,2,3,2,2,2,2,1,1,1,2,0,2,0,1,2,2,2,1
#カメラ女子,5,2,1,1,1,0,3,0,3,2,0,1,1,4,2,2,2,0,1,4,0,2,1,2,0,4,1,2,3,4,3
#今この瞬間を忘れない,5,1,1,1,2,0,3,1,0,1,1,2,1,1,2,3,5,11,0,1,0,2,1,1,3,1,1,1,1,1,3
#福井県観光,3,0,3,1,0,2,1,1,1,1,2,0,3,2,2,3,2,0,2,2,1,3,4,3,3,0,1,5,2,2,2
#japantravelphoto,2,3,3,2,0,2,0,1,2,4,3,4,6,1,4,3,1,2,1,2,1,2,1,1,1,1,0,1,1,0,1
#japantravel,4,1,2,1,1,2,3,3,6,1,2,4,2,1,4,3,2,1,0,2,0,2,2,2,1,2,0,0,0,1,1
#福井県おおい町,1,3,0,2,0,0,2,1,2,6,1,3,3,3,1,0,2,2,6,4,1,1,0,0,0,3,2,4,0,1,2
#雲,6,8,4,5,1,1,2,6,1,2,1,1,0,0,0,1,4,0,0,6,1,0,3,1,1,0,0,0,0,0,1
#photo_shorttrip,1,2,1,0,1,1,1,1,1,1,1,6,4,6,2,3,2,1,1,4,2,2,1,3,0,1,1,2,2,1,0
#best_moments_landscape,3,2,2,2,2,1,0,0,1,3,1,4,7,3,4,7,1,1,2,2,1,1,1,2,1,0,0,0,1,0,0
#今日もx日和,1,1,0,0,2,0,3,2,3,3,1,2,2,4,1,3,2,1,4,1,1,2,3,1,2,1,1,2,3,3,0
#nikon,0,0,0,0,0,4,2,2,4,0,7,5,7,5,2,3,0,0,0,0,1,0,0,0,0,0,1,4,0,3,4
#jp_gallery,1,3,2,1,2,1,1,1,2,2,0,1,1,2,1,2,1,1,3,5,3,1,2,3,1,0,1,2,2,3,3
#一眼レフのある生活,1,2,0,0,0,3,2,2,3,0,7,4,7,6,1,1,0,2,0,0,0,0,3,0,1,0,1,2,0,3,3
#こころから,0,0,2,1,0,2,2,2,6,6,5,6,6,1,4,3,0,1,0,1,1,0,0,2,1,0,0,2,0,0,0
#てくぴく越前2022夏風景,0,1,2,2,1,1,1,0,1,1,3,0,5,2,9,6,1,1,0,1,0,2,2,0,0,1,1,2,3,2,3
#ポトレファン倶楽部,3,0,1,1,2,0,3,3,0,1,1,1,1,1,3,2,2,1,0,2,1,2,3,2,6,1,1,4,2,1,3
#陶ふうりんフォトコン2022,3,3,0,1,0,2,2,0,1,1,0,0,0,1,1,1,2,1,2,0,1,6,1,0,7,0,0,5,3,5,5
